parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	aIL10+aPD1	groupaIL10	-0.27700000000000036	0.4675174589304254	-0.5924912422173793	0.559063255162124	1	-1
PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	aIL10+aPD1	groupControl	0.06574999999999995	0.4958771482992104	0.13259332523289952	0.895620440636064	1	-1
PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	330.89999999999986	218.00777085865988	1.517835803268366	0.14211941480469129	0.4263582444140739	-1
PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	30.499999999999996	231.232159688282	0.1319020677794829	0.8961613228471359	0.8961613228471359	-1
PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	aIL10+aPD1	groupaIL10	10.499999999999927	19.604061471809256	0.5356032990969236	0.5971617459141818	1	-1
PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	aIL10+aPD1	groupControl	5.9499999999999975	20.793247208271374	0.28615059208420024	0.777218279618563	1	-1
PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	aIL10+aPD1	groupaIL10	-5.900000000000067	23.167705098343465	-0.2546648437968044	0.8011514411238377	0.8011514411238377	-1
PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	aIL10+aPD1	groupControl	24.15	24.573062069353213	0.9827835021879164	0.335518338515683	0.671036677031366	-1
PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	aIL10+aPD1	groupaIL10	32.629999999999995	19.254338974507498	1.694682951370167	0.10307441063923356	0.3092232319177007	-1
PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	aIL10+aPD1	groupControl	28.262500000000003	20.422310484208023	1.3839031593342277	0.17912429438424904	0.3582485887684981	-1
PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	-11.111111111111512	1099.4401241557375	-0.01010615391142264	0.9920276791000244	1	-1
PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	aIL10+aPD1	groupControl	1295.177203065134	1134.4257260741297	1.1417029544519517	0.265852455170543	0.797557365511629	-1
PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupaIL10	-114.84000000000016	45.52461112252517	-2.5225915646136805	0.01868851764513839	0.05606555293541517	-1
PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupControl	-82.82500000000003	48.286141853427104	-1.7152954620275078	0.09917598752850032	0.1866053849185402	-1
PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	aIL10+aPD1	groupaIL10	43.00000000000033	257.33219011897563	0.16709918794115727	0.8686919560257423	1	-1
