parameter	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
MSD_Cluster_1	aIL10+aPD1	groupControl	0.11357753555737092	0.15086161032711173	0.7528590959032048	0.4588562373419829	0.9177124746839658	-1
MSD_Cluster_2	aIL10+aPD1	groupaIL10	0.09637626144719419	0.18438426013538087	0.5226924542064036	0.6059804048725647	1	-1
MSD_Cluster_2	aIL10+aPD1	groupControl	-5.002680432409653e-4	0.19556904102868836	-0.0025580124574399285	0.9979801476278474	1	-1
MSD_Cluster_3	aIL10+aPD1	groupaIL10	-0.011170859193186616	0.12193149344615886	-0.09161586459300869	0.9277636600900472	1	-1
MSD_Cluster_3	aIL10+aPD1	groupControl	-0.08881310911912726	0.12932787878397303	-0.6867282596313135	0.4988361228130732	1	-1
PBMC_CD3p_CD4p_CD39p_GAG_UNS	aIL10+aPD1	groupaIL10	0.059063469134251825	0.18431104933828232	0.3204553896595067	0.7513966294625788	1	-1
PBMC_CD3p_CD4p_CD39p_GAG_UNS	aIL10+aPD1	groupControl	-0.0018235195100506215	0.19549138925206166	-0.009327876368505527	0.9926346449346992	1	-1
PBMC_CD3p_CD4p_CD39p_UNS	aIL10+aPD1	groupaIL10	1.1619999999999995	1.2707538538768461	0.9144178445376673	0.36959336887170635	0.7391867377434127	-1
PBMC_CD3p_CD4p_CD39p_UNS	aIL10+aPD1	groupControl	0.663	1.3478380009428859	0.4918988777109679	0.6272600224384595	0.7391867377434127	-1
PBMC_CD3p_CD4p_CD69p_GAG_UNS	aIL10+aPD1	groupaIL10	0.11490416029377079	0.11551329972584708	0.9947266727422558	0.3297932002474311	0.6595864004948622	-1
PBMC_CD3p_CD4p_CD69p_GAG_UNS	aIL10+aPD1	groupControl	-0.043259101203122104	0.12252035633007095	-0.3530768477899435	0.7271131604517345	0.7271131604517345	-1
PBMC_CD3p_CD4p_KI67p_GAG_UNS	aIL10+aPD1	groupaIL10	-0.06891268901281948	0.09349126318582651	-0.7371029833648327	0.4682050566871713	0.5661408943307444	-1
PBMC_CD3p_CD4p_KI67p_GAG_UNS	aIL10+aPD1	groupControl	-0.10888689441982267	0.09916245927059124	-1.0980656916010496	0.2830704471653722	0.5661408943307444	-1
