ID_merge	ID	Group	Wk Post-TX	weeks post-ATI	IL10 Pr (pg/ml)
RVc17_aIL10_14	RVc17	aIL10	14	2	637.8695526695526
34920_aIL10_14	34920	aIL10	14	2	1508.2880230880232
34930_aIL10_14	34930	aIL10	14	2	1990.8277056277057
RGr17_aIL10_14	RGr17	aIL10	14	2	178.4178932178932
RZp17_aIL10_14	RZp17	aIL10	14	2	348.88446368446364
RFl17_aIL10+aPD1_14	RFl17	aIL10+aPD1	14	2	1563.3699324324325
RYm17_aIL10+aPD1_14	RYm17	aIL10+aPD1	14	2	1626.8834459459458
RNy16_aIL10+aPD1_14	RNy16	aIL10+aPD1	14	2	1770.8023648648648
RRh17_aIL10+aPD1_14	RRh17	aIL10+aPD1	14	2	359.3158783783784
RIb17_aIL10+aPD1_14	RIb17	aIL10+aPD1	14	2	1725.8699324324325
34918_aIL10+aPD1_14	34918	aIL10+aPD1	14	2	5816.5131313131315
RBf17_aIL10+aPD1_14	RBf17	aIL10+aPD1	14	2	1529.0672438672439
RBv17_aIL10+aPD1_14	RBv17	aIL10+aPD1	14	2	587.0759018759019
RKq17_aIL10+aPD1_14	RKq17	aIL10+aPD1	14	2	896.0706108706108
RWs17_aIL10+aPD1_14	RWs17	aIL10+aPD1	14	2	4654.800769600769
RYk17_aIL10_15	RYk17	aIL10	15	3	1231.275337837838
RHm17_aIL10_15	RHm17	aIL10	15	3	1403.5726351351352
34897_aIL10_15	34897	aIL10	15	3	1575.8699324324325
RFn17_aIL10_15	RFn17	aIL10	15	3	443.4375
RVm17_aIL10_15	RVm17	aIL10	15	3	1026.5456081081081
RVc17_aIL10_15	RVc17	aIL10	15	3	2738.8796536796535
34920_aIL10_15	34920	aIL10	15	3	652.1071669071669
34930_aIL10_15	34930	aIL10	15	3	990.3467051467051
RGr17_aIL10_15	RGr17	aIL10	15	3	578.6102934102935
RZp17_aIL10_15	RZp17	aIL10	15	3	186.4987012987013
RFl17_aIL10+aPD1_15	RFl17	aIL10+aPD1	15	3	1180.9375
RYm17_aIL10+aPD1_15	RYm17	aIL10+aPD1	15	3	6595.802364864865
RNy16_aIL10+aPD1_15	RNy16	aIL10+aPD1	15	3	4756.275337837838
RRh17_aIL10+aPD1_15	RRh17	aIL10+aPD1	15	3	1210.6672297297296
RIb17_aIL10+aPD1_15	RIb17	aIL10+aPD1	15	3	3575.532094594595
34918_aIL10+aPD1_15	34918	aIL10+aPD1	15	3	10645.75796055796
RBf17_aIL10+aPD1_15	RBf17	aIL10+aPD1	15	3	8075.29139009139
RBv17_aIL10+aPD1_15	RBv17	aIL10+aPD1	15	3	2379.476094276094
RKq17_aIL10+aPD1_15	RKq17	aIL10+aPD1	15	3	11405.73872053872
RWs17_aIL10+aPD1_15	RWs17	aIL10+aPD1	15	3	8085.296200096201
RYk17_aIL10_17	RYk17	aIL10	17	5	447.49155405405406
RHm17_aIL10_17	RHm17	aIL10	17	5	1169.7888513513512
34897_aIL10_17	34897	aIL10	17	5	907.2888513513512
RFn17_aIL10_17	RFn17	aIL10	17	5	385.66722972972974
RVm17_aIL10_17	RVm17	aIL10	17	5	491.41047297297297
RVc17_aIL10_17	RVc17	aIL10	17	5	3236.0417508417504
34920_aIL10_17	34920	aIL10	17	5	1362.0638768638769
34930_aIL10_17	34930	aIL10	17	5	1498.283213083213
RGr17_aIL10_17	RGr17	aIL10	17	5	380.0532948532948
RZp17_aIL10_17	RZp17	aIL10	17	5	308.86522366522365
RFl17_aIL10+aPD1_17	RFl17	aIL10+aPD1	17	5	381.2753378378378
RYm17_aIL10+aPD1_17	RYm17	aIL10+aPD1	17	5	2470.802364864865
RNy16_aIL10+aPD1_17	RNy16	aIL10+aPD1	17	5	4764.045608108108
RRh17_aIL10+aPD1_17	RRh17	aIL10+aPD1	17	5	370.46452702702703
RIb17_aIL10+aPD1_17	RIb17	aIL10+aPD1	17	5	6069.451013513513
