animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
RZg17	Control	-	2	-1	-13	PBMC_CD3p_CD8p_KI67p	2.19
RZg17	Control	-	2	-1	-13	MSD_Cluster_1	-0.238139633911894
RZg17	Control	-	2	-1	-13	MSD_Cluster_2	0.167113221336338
RZg17	Control	-	2	-1	-13	MSD_Cluster_3	-0.505333412884708
34897	aIL10	-	1	7	-5	IL10	0.578433866212309
34897	aIL10	-	1	7	-5	IL4	0.13936630377042
34897	aIL10	-	1	7	-5	MIP3b	88.2701371894734
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG	0.51
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	2328
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG	0.11
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_GAG	4.51
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_IFNGp_GAG	0.71
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CD39p_GAG	8.1
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	42.7
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_MFI_BCL2_UNS	2115
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2236
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_MFI_TCF1_UNS	10506
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_KI67p_UNS	7.75
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_GRZBp_UNS	8.05
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_KI67p_UNS	9.53
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_SLAMF6p_UNS	2.94
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_IFNGp_GAG_UNS	0.6052631578947368
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_IL2p_GAG_UNS	1
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	0.796875
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TNFAp_GAG_UNS	1.3580246913580247
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_CX3CR1p_GAG_UNS	0.7085561497326204
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_IFNGp_GAG_UNS	0.47540983606557374
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	0.8394160583941606
34897	aIL10	-	1	7	-5	LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	0.7491228070175439
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_KI67p	0.82
34897	aIL10	-	1	7	-5	LN_CD3p_CD4p_TEM	0.12
